1,First song for Fun A Day! It’s called “In The Time of the Gods”. I wish I had better guitars. I’m using a baritone ukulele that won’t stay in tune!,"If you watch everyday, please consider donating on Patreon:
http://patreon.com/jonathanmann

$1 a month goes a long way for me!

♬ Music: http://everyday.jonathanmann.net || https://jonathanmann.bandcamp.com || http://bit.ly/MannSpotify

● Contact: jonathan@jonathanmann.net

● Tumblr: http://jonathanmann.tumblr.com/

● Instagram: http://instagram.com/jonathanmann

● Twitter: http://twitter.com/songadaymann

● Call my Google Voice: (510) 402-6081

● Hire Me: http://jonathanmann.net

● Keep track of what song I'm on: https://docs.google.com/spreadsheet/ccc?key=0AgLj-l5MyNOhdFYtYzZpQ2hScUs5M3NLUGRTZFFlNmc&usp=sharing"
2,Song two for Fun A Day! It’s called “Hands (Oh No!)” I wish I was better at whistling. It sounds kind of creepy though.,"If you watch everyday, please consider donating on Patreon:
http://patreon.com/jonathanmann

$1 a month goes a long way for me!

♬ Music: http://everyday.jonathanmann.net || https://jonathanmann.bandcamp.com || http://bit.ly/MannSpotify

● Contact: jonathan@jonathanmann.net

● Tumblr: http://jonathanmann.tumblr.com/

● Instagram: http://instagram.com/jonathanmann

● Twitter: http://twitter.com/songadaymann

● Call my Google Voice: (510) 402-6081

● Hire Me: http://jonathanmann.net

● Keep track of what song I'm on: https://docs.google.com/spreadsheet/ccc?key=0AgLj-l5MyNOhdFYtYzZpQ2hScUs5M3NLUGRTZFFlNmc&usp=sharing"
3,3rd song for Fun A Day! It’s called “Who Do You Think You Are?”. It’s pretty weird. It’s kind of like my worst nightmare. Judgement.,"If you watch everyday, please consider donating on Patreon:
http://patreon.com/jonathanmann

$1 a month goes a long way for me!

♬ Music: http://everyday.jonathanmann.net || https://jonathanmann.bandcamp.com || http://bit.ly/MannSpotify

● Contact: jonathan@jonathanmann.net

● Tumblr: http://jonathanmann.tumblr.com/

● Instagram: http://instagram.com/jonathanmann

● Twitter: http://twitter.com/songadaymann

● Call my Google Voice: (510) 402-6081

● Hire Me: http://jonathanmann.net

● Keep track of what song I'm on: https://docs.google.com/spreadsheet/ccc?key=0AgLj-l5MyNOhdFYtYzZpQ2hScUs5M3NLUGRTZFFlNmc&usp=sharing"
4,Song 4! Elegy For Industry. Strange. Kind of cheesy. Let me know what you think!,"If you watch everyday, please consider donating on Patreon:
http://patreon.com/jonathanmann

$1 a month goes a long way for me!

♬ Music: http://everyday.jonathanmann.net || https://jonathanmann.bandcamp.com || http://bit.ly/MannSpotify

● Contact: jonathan@jonathanmann.net

● Tumblr: http://jonathanmann.tumblr.com/

● Instagram: http://instagram.com/jonathanmann

● Twitter: http://twitter.com/songadaymann

● Call my Google Voice: (510) 402-6081

● Hire Me: http://jonathanmann.net

● Keep track of what song I'm on: https://docs.google.com/spreadsheet/ccc?key=0AgLj-l5MyNOhdFYtYzZpQ2hScUs5M3NLUGRTZFFlNmc&usp=sharing"
5,Song #5 for Song A Day! I made it at LAX. In 20 min. While trying to not make too big a scene. Also got some time lapse of the gate I was waiting at. Yay!,A song I wrote and recorded on the spot at the airport this morning. I'm writing and recording a song everyday in January. This is the 5th song. www.rockcookiebottom.com
6,"If you watch everyday, please consider donating on Patreon:
http://patreon.com/jonathanmann

$1 a month goes a long way for me!

♬ Music: http://everyday.jonathanmann.net || https://jonathanmann.bandcamp.com || http://bit.ly/MannSpotify

● Contact: jonathan@jonathanmann.net

● Tumblr: http://jonathanmann.tumblr.com/

● Instagram: http://instagram.com/jonathanmann

● Twitter: http://twitter.com/songadaymann

● Call my Google Voice: (510) 402-6081

● Hire Me: http://jonathanmann.net

● Keep track of what song I'm on: https://docs.google.com/spreadsheet/ccc?key=0AgLj-l5MyNOhdFYtYzZpQ2hScUs5M3NLUGRTZFFlNmc&usp=sharing","If you watch everyday, please consider donating on Patreon:
http://patreon.com/jonathanmann

$1 a month goes a long way for me!

♬ Music: http://everyday.jonathanmann.net || https://jonathanmann.bandcamp.com || http://bit.ly/MannSpotify

● Contact: jonathan@jonathanmann.net

● Tumblr: http://jonathanmann.tumblr.com/

● Instagram: http://instagram.com/jonathanmann

● Twitter: http://twitter.com/songadaymann

● Call my Google Voice: (510) 402-6081

● Hire Me: http://jonathanmann.net

● Keep track of what song I'm on: https://docs.google.com/spreadsheet/ccc?key=0AgLj-l5MyNOhdFYtYzZpQ2hScUs5M3NLUGRTZFFlNmc&usp=sharing"
7,"A song I wrote today for Ryan and Matt and everyone else at 1up and EGM that lost their jobs yesterday. It's made me so unbelievably sad. First, they're my friends, and what they created and worked on, the 1up Show, was far and away the best gaming content anywhere, period. I'm going to miss my weekly dose of 1up Yours, 1up FM and The 1up Show, and boy am I going to miss getting EGM in the mail! Love! On to bigger and better things! All of you!","https://www.e-junkie.com/ecom/gb.php?i=202444&c=single&cl=20525
Song # 6! A song I wrote today for Ryan and Matt and everyone else at 1up and EGM that lost their jobs yesterday. It's made me so unbelievably sad. First, they're my friends, and what they created and worked on, the 1up Show, was far and away the best gaming content anywhere, period. I'm going to miss my weekly dose of 1up Yours, 1up FM and The 1up Show, and boy am I going to miss getting EGM in the mail! Love! On to bigger and better things! All of you!"
8,Song # 8 for Song A Day! It’s called “Boy For Boy’s Sake”. Yay!,"my 9th song for song a day. www.rockcookiebottom.com, to follow my progress."
9,"This one is called “The Deutsch Positivity Anthem”. It was written for Ivory’s mom’s boss, who sent out an email to everyone in the creative group at Deutsch (an ad agency) saying that he wanted to be inundated with “positivity” ideas on Monday, the 12th. So I wrote this Positivity Anthem for her to present to him.","If you watch everyday, please consider donating on Patreon:
http://patreon.com/jonathanmann

$1 a month goes a long way for me!

♬ Music: http://everyday.jonathanmann.net || https://jonathanmann.bandcamp.com || http://bit.ly/MannSpotify

● Contact: jonathan@jonathanmann.net

● Tumblr: http://jonathanmann.tumblr.com/

● Instagram: http://instagram.com/jonathanmann

● Twitter: http://twitter.com/songadaymann

● Call my Google Voice: (510) 402-6081

● Hire Me: http://jonathanmann.net

● Keep track of what song I'm on: https://docs.google.com/spreadsheet/ccc?key=0AgLj-l5MyNOhdFYtYzZpQ2hScUs5M3NLUGRTZFFlNmc&usp=sharing"
10,This goes out to all you haters!!,"Song # 10 for Song A Day on www.rockcookiebottom.com 
This goes out to all you haters!!
Buy this song! https://www.e-junkie.com/ecom/gb.php?i=202441&c=single&cl=20525"
